"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"uc001xqh.3","FCF1",-0.451823596610636,9.74076148088437,-3.09524225171991,0.00423439315046217,0.0124065022242841,-3.10766045801793
"uc010axa.3","AKT1",-0.952164175104406,6.49046625835172,-2.77070180923899,0.00950740715909681,0.0237193749965222,-3.11494395142681
"uc001wri.3","BC041327",-1.33268359525422,5.13301879511866,-2.61777150446795,0.0137340633040863,0.0320693863953284,-3.11583280234054
"uc010twt.1","DICER1-AS1",-1.36539425633376,5.21344119348697,-2.60698940094666,0.0140899014956892,0.0326499860649751,-3.14019159459594
"uc001xab.3","GNPNAT1",0.274572059272636,12.4017704133008,3.3228378282785,0.00235403101432955,0.00767981749355739,-3.14128502563525
"uc010tlo.2","TMEM253",-0.579605364336512,8.49668754137334,-2.94659731691525,0.00616058493520209,0.0164759829662381,-3.1872628730064
"uc001xfc.3","SIX4",0.361316108108687,11.0289786514469,3.15306346878613,0.00365285785784069,0.0109824484614818,-3.24363559845511
"uc001xsm.3","AK025117",0.489326161545378,9.13261496442188,3.00275202040949,0.00535150621972447,0.0151024101906335,-3.24754939275217
"uc001wmj.3","PSME2",0.409260042323782,9.9890492178361,3.07564300399648,0.00445079179885699,0.0129147413178295,-3.27315618802031
"uc001xyp.3","TTC7B",0.740185346750422,6.56764755253548,2.74976559790544,0.0100037711809321,0.0247405093721976,-3.30986462277312
"uc001ymf.1","AX746522",-1.37546180032992,5.383836650852,-2.53128206582606,0.0168390691464513,0.0383463950859782,-3.31425949999164
"uc001wop.3","CIDEB",0.879733975114855,6.24882005090965,2.67960563494866,0.0118493635593609,0.0282420064109119,-3.32051090460153
"uc001wre.3","HECTD1",-0.727588013437585,6.89819866868936,-2.73850313811356,0.0102807113262992,0.0250218370904636,-3.34778808756406
"uc001xux.2","CEP128",1.1459132902605,5.09683046796928,2.56881240001776,0.0154196396560321,0.0354651712088739,-3.35303406081339
"uc001xmc.4","SYNJ2BP",0.312321367519845,11.2731790222203,3.15653011294251,0.003620530948496,0.0109568699757116,-3.37627199191391
"uc001xjl.1","PLEKHH1",0.53102381605609,8.5375367170902,2.8758342199652,0.00734529318921099,0.0189822183541408,-3.43666627826679
"uc010ahh.2","CCNB1IP1",1.23172442200022,4.20184655087198,2.46615952852794,0.0195909241807232,0.0437467238987023,-3.44233144340268
"uc010aln.2","DHRS1",0.983878346180476,5.72895818393006,2.52729890774702,0.0169965858043949,0.0385144308868062,-3.56955103878627
"uc001wyw.4","PYGL",0.785245094857581,6.68254103829141,2.60594953431794,0.0141246678846305,0.0326499860649751,-3.63279264750209
"uc010txs.1","PPP2R5C",0.804407088892432,6.96220720115142,2.6384328848566,0.013075362924043,0.0307838189575812,-3.63834810138029
"uc001wsd.1","EAPP",0.31623318150327,11.080665704154,2.9588967298696,0.00597404687362242,0.0161650680109783,-3.74118351001454
"uc001wio.4","ACIN1",-0.268467818060721,11.7092666673134,-2.91912750867844,0.00659727551758308,0.0174410732074035,-3.94334464022192
"uc031qqx.1","abParts",0.266980341668026,12.6894430254075,2.96719258165399,0.00585125978589148,0.0160642105989125,-4.0447943310682
"uc001vvo.1","LOC101101776",-0.532296512082211,8.28011498677302,-2.53265302946055,0.0167851654845883,0.0383463950859782,-4.06045810803078
"uc001ysy.2","LINC00221",0.295457930454464,11.3325969350087,2.8357151678316,0.0081091606659027,0.0207234105906402,-4.0702321496385
"uc001yaf.3","NDUFB1",0.310411352622033,10.5629463263921,2.77385557293321,0.00943466598402247,0.0237155538396193,-4.07704249826634
